"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"64332",-0.222625561403499,8.48387862280702,-1.30646312498954,0.193988272188287,0.252808418598814,-5.8125940924384
"25974",0.141428473684213,6.08828811403509,1.30604690377795,0.19412930900339,0.252965642281547,-5.81312556725452
"9131",-0.134781649122802,8.28159701754386,-1.30576027711846,0.194226476944479,0.253065674371777,-5.81349146662596
"55217",-0.0961170701754357,4.70962604385965,-1.30258666425287,0.195304766007268,0.254443894292002,-5.8175376006107
"137872",0.0747617192982464,5.77578026315789,1.30217796612287,0.19544395072176,0.254598484010997,-5.81805796751961
"55856",0.153599456140352,8.15282516666667,1.30181613421884,0.195567236317353,0.254718711522406,-5.8185185306458
"2959",-0.114404333333329,8.39172897368421,-1.30178656329115,0.195577314458191,0.254718711522406,-5.81855616494997
"221092",0.0692188771929834,7.52330033333333,1.30112308128787,0.195803538811501,0.254986571697413,-5.81940034651394
"54107",0.132321578947376,8.41869052631579,1.30088807338094,0.195883714934825,0.25506420323867,-5.81969925872195
"10134",0.105509942701769,10.200364252,1.30078606167228,0.195918525192929,0.255082752859566,-5.81982899355449
"55276",-0.126442508771928,6.46986083333333,-1.30070778346251,0.195945239796327,0.255090759281448,-5.81992853827794
"51142",0.0840896491228094,12.0736611403509,1.30046723022109,0.196027352164727,0.25517087587903,-5.82023440829311
"54830",-0.121642017543857,4.3117603245614,-1.3003387674651,0.196071213131041,0.255201188633518,-5.82039772970168
"56252",-0.0755848070175471,5.94711692982456,-1.3001893953929,0.19612222231256,0.255240797981848,-5.82058761452331
"23387",-0.111450842105262,5.77964119298246,-1.30010582478361,0.19615076519957,0.255251163610519,-5.82069384194724
"93109",-0.0931593333333298,5.7646501754386,-1.29905208527642,0.196510926245346,0.255693016799252,-5.82203269192398
"1264",-0.353334491228065,7.52907131578947,-1.29840400684382,0.196732678638886,0.255954703779814,-5.82285559766573
"55739",-0.118879789473681,8.551966,-1.29811659106808,0.196831082826059,0.256055873243254,-5.8232204198637
"7029",-0.124173017543858,6.27026659649123,-1.29793444891702,0.196893462776657,0.256110162781213,-5.82345157570023
"55635",-0.20272963157895,5.34781035964912,-1.29762908776257,0.196998075606227,0.256219369803884,-5.82383903760611
"57462",-0.0894133859649102,5.23213983333333,-1.2975286050058,0.197032508727776,0.256237286460404,-5.82396651724764
"57537",0.0982022280701775,4.93748225438596,1.29715212522635,0.197161559351391,0.25637823484586,-5.82444406131112
"6156",-0.0567849122806887,13.0827884210526,-1.29685789709804,0.197262459188292,0.256459407721159,-5.82481717998247
"256586",0.172535350877201,8.17983786842105,1.29684951422143,0.197265334494323,0.256459407721159,-5.82482780933174
"55034",0.177316035087723,6.01882292982456,1.2957656030875,0.197637375184746,0.256916160321902,-5.82620162883316
"51138",-0.0669431929824533,5.52154668421053,-1.29546326636109,0.197741241687025,0.257024244146061,-5.8265846311435
"11098",-0.231071052631574,7.34045128070175,-1.29515782257101,0.197846216687259,0.257133745996308,-5.82697148138652
"8838",-0.37317554385965,3.8206338245614,-1.29388468738206,0.198284212985952,0.257675995586982,-5.82858297679984
"5630",-0.131678596491224,6.60282892982456,-1.29379623014714,0.198314671569388,0.257688580153644,-5.82869488607632
"92840",0.209305052631587,6.47887431578947,1.29326793965866,0.198496650621494,0.257898026009114,-5.82936308381407
"581",0.128281754385966,6.9104518245614,1.29287709929126,0.198631362118961,0.258031696866421,-5.82985725995507
"1478",0.138766017543865,6.75903588596491,1.29284874458624,0.198641137808566,0.258031696866421,-5.8298931058257
"7035",-0.210314842105261,4.42890729824561,-1.29205963370393,0.198913338019775,0.258358224586103,-5.83089038944915
"9654",0.068333280701756,5.05493413157895,1.29129065136762,0.199178860591106,0.258676011597956,-5.83186166563512
"7019",-0.111695263157891,6.64727656140351,-1.29076911913953,0.199359090160807,0.258882972608317,-5.83252007620599
"23457",0.0722661052631581,4.86294838596491,1.29050548125155,0.199450243283239,0.258974229842489,-5.83285280868844
"130576",0.169912877192981,5.31806761403509,1.28978754942836,0.199698625453168,0.259269599133461,-5.83375856249927
"10468",0.20571764791228,4.36880563071053,1.28951085191818,0.199794415299099,0.259345402953972,-5.83410751764482
"3315",0.185702263157902,10.6561201315789,1.28949810591368,0.199798828654318,0.259345402953972,-5.83412359042813
"83998",-0.697685614035086,8.49772243859649,-1.28914973858724,0.199919480167056,0.259474859473911,-5.83456282384757
"79018",0.090505403508776,5.53454442105263,1.28799612882573,0.200319399420301,0.259966711697992,-5.83601651160967
"10782",-0.0972434376052593,6.28899148167982,-1.28759105681767,0.2004599650558,0.260121917203907,-5.8365266514716
"6907",0.140527824561405,4.50175407017544,1.28664784167456,0.200787556480507,0.26051975424521,-5.83771391443256
"9881",0.130974561403511,6.09247847368421,1.28628156168857,0.200914877115798,0.260657685989369,-5.83817473802982
"23279",0.131789035087722,5.38548428947368,1.28615958086627,0.200957291462855,0.260685446904963,-5.83832817606165
"6921",-0.11121878947368,8.02172778070175,-1.28494774205522,0.201379023376483,0.26120520819428,-5.83985176402903
"283140",0.0507393859649126,5.60099176315789,1.28460914355129,0.201496975809648,0.261330874941747,-5.8402772186512
"7374",0.140996543859639,7.99588706140351,1.28355953891312,0.201862935002849,0.261778133379544,-5.84159537211078
"91607",0.205124491228069,5.43561819298246,1.28341363219795,0.201913846236263,0.261816783265169,-5.84177852723615
"202243",-0.0998806842105244,4.86465962280702,-1.28317087554165,0.201998572333646,0.261899267401123,-5.84208321222636
"55183",-0.0646362982456141,4.74438899122807,-1.28226636008607,0.202314494374906,0.262281457799575,-5.84321798072714
"5899",0.0926045964912277,8.33601815789474,1.28201923665203,0.202400871112505,0.262366015809333,-5.84352787658455
"84516",-0.10231971929824,6.98836887719298,-1.28195517469169,0.202423267050044,0.262367628473223,-5.8436082016079
"3790",0.214898736842106,6.04936724561404,1.2815523518269,0.20256413506205,0.262522780410581,-5.84411319757933
"56998",0.0906181754385971,7.58351954385965,1.28137805710302,0.202625108718797,0.262574367796486,-5.84433165310917
"123720",-0.118557105263157,6.55161671052632,-1.28017755609642,0.203045448904312,0.26309158552273,-5.84583553917743
"83648",0.0744435614035091,4.63999121929825,1.28002853457052,0.203097671752277,0.263131765240782,-5.84602212517922
"199964",-0.159848210526316,5.13371735087719,-1.27848989387107,0.203637449784823,0.263803543303493,-5.84794738355524
"4205",-0.0875145964912241,5.02059366666667,-1.27842650870548,0.203659708908556,0.263804827621316,-5.84802664739942
"55160",-0.0922979824561407,6.36184374561403,-1.27818920539595,0.203743059224207,0.263885236150889,-5.8483233638801
"501",-0.136835771929822,8.0536955877193,-1.27624952419624,0.204425295214586,0.264741215477315,-5.85074667256034
"53917",0.116547456140354,7.13534906140351,1.27617873897973,0.20445022400281,0.264745858495757,-5.85083503926712
"145853",0.102802649122815,8.18891837719298,1.27566740169392,0.204630370784045,0.264951473821012,-5.85147324000953
"54539",0.1005232631579,10.1953370701754,1.27505074073573,0.204847779166892,0.265205286795338,-5.85224256475262
